"Department","Total_Absent_People","Total_Absent_Hours","Average_Absent_People","Average_Absent_Hours","Absent_Rate","total_worked","month"
"ORTHOPEDIC SURGERY","5",43,"0.24","2.05","3%",1659.84,2022-04-01
"SA SURGERY","5",40,"0.24","1.9","3%",1512,2022-04-01
"SA SURGERY","6",50.75,"0.29","2.42","3%",1512,2022-06-01
"DENTISTRY","2",16,"0.09","0.7","3%",478.4,2022-08-01
"PATHOLOGY","15",103.75,"0.65","4.51","3%",3358,2022-08-01
"ORTHOPEDIC SURGERY","7",49.75,"0.33","2.37","3%",1659.84,2022-10-01
"NUTRITION","1",8,"0.05","0.42","3%",319.2,2022-11-01
"ORTHOPEDIC SURGERY","5",50,"0.26","2.63","3%",1501.76,2022-11-01
"BEHAVIOR","1",6,"0.05","0.29","2%",336,2020-01-01
"SA CARDIOLOGY","2",16,"0.1","0.76","2%",688.8,2020-01-01
"SA SURGERY","4",28.25,"0.19","1.35","2%",1512,2020-01-01
"OPHTHALMOLOGY","3",18.75,"0.16","0.99","2%",790.4,2020-02-01
"BEHAVIOR","1",8,"0.05","0.38","2%",336,2020-03-01
"NUTRITION","2",8,"0.1","0.38","2%",352.8,2020-03-01
"PERSONNEL/PAYROLL","1",8,"0.05","0.38","2%",462,2020-03-01
"BEHAVIOR","1",6,"0.05","0.27","2%",352,2020-04-01
"ADMINISTRATION OVERHEAD","3",24,"0.15","1.2","2%",1312,2020-05-01
"SA SURGERY","4",35,"0.18","1.59","2%",1584,2020-06-01
"DERMATOLOGY","1",8,"0.05","0.36","2%",352,2020-07-01
"SA SURGERY","3",30,"0.14","1.43","2%",1512,2020-08-01
"LIVESTOCK","3",23,"0.14","1.1","2%",1134,2020-09-01
"COMP AVIAN","3",21.25,"0.14","1.01","2%",1243.2,2020-09-01
"ADMINISTRATION OVERHEAD","4",33,"0.19","1.57","2%",1377.6,2020-09-01
"DENTISTRY","1",8.5,"0.05","0.39","2%",457.6,2020-10-01
"SA SURGERY","3",30,"0.14","1.36","2%",1584,2020-10-01
"NEURO","6",45.25,"0.32","2.38","2%",1824,2021-01-01
"SA INTEGRATIVE MEDICINE","1",8,"0.05","0.42","2%",486.4,2021-02-01
"LIVESTOCK","4",29.5,"0.18","1.34","2%",1188,2021-03-01
"BEHAVIOR","1",6.5,"0.05","0.3","2%",352,2021-03-01
"OPHTHALMOLOGY","3",22.75,"0.14","1.03","2%",915.2,2021-04-01
"OPHTHALMOLOGY","2",18,"0.1","0.86","2%",873.6,2021-06-01
"SA CARDIOLOGY","2",16,"0.1","0.76","2%",688.8,2021-07-01
"DENTISTRY","1",8.5,"0.05","0.4","2%",436.8,2021-07-01
"SA INTEGRATIVE MEDICINE","2",13.25,"0.1","0.63","2%",537.6,2021-07-01
"BIOLOGICAL MEDIA SERVICES","2",16,"0.09","0.73","2%",704,2021-08-01
"SA CARDIOLOGY","2",16,"0.09","0.73","2%",721.6,2021-08-01
"SA INTEGRATIVE MEDICINE","1",10,"0.05","0.45","2%",563.2,2021-08-01
"B BARN","2",14,"0.09","0.64","2%",616,2021-08-01
"FINANCIAL SERVICES","2",16,"0.1","0.76","2%",672,2021-09-01
"DERMATOLOGY","1",8,"0.05","0.38","2%",336,2021-10-01
"SA INTEGRATIVE MEDICINE","1",10,"0.05","0.53","2%",486.4,2021-11-01
"SA COMMUNITY SERVICE","3",21,"0.16","1.11","2%",1064,2021-11-01
"DENTISTRY","1",8,"0.05","0.4","2%",416,2021-12-01
"SA SURGERY","4",31,"0.2","1.55","2%",1440,2021-12-01
"FINANCIAL SERVICES","2",12,"0.1","0.6","2%",640,2022-01-01
"BIOLOGICAL MEDIA SERVICES","2",12,"0.11","0.63","2%",608,2022-02-01
"ONCOLOGIES","6",51,"0.32","2.68","2%",2112.8,2022-02-01
"ADMINISTRATION OVERHEAD","4",22,"0.21","1.16","2%",1246.4,2022-02-01
"DENTISTRY","1",8,"0.05","0.36","2%",457.6,2022-03-01
"NUTRITION","1",8,"0.05","0.36","2%",369.6,2022-03-01
"PATHOLOGY","10",70.5,"0.45","3.2","2%",3212,2022-03-01
"BIOLOGICAL MEDIA SERVICES","3",16.75,"0.14","0.8","2%",672,2022-05-01
"PHARMACY","6",35,"0.29","1.67","2%",1495.2,2022-05-01
"PERSONNEL/PAYROLL","1",8,"0.05","0.38","2%",462,2022-06-01
"BIOLOGICAL MEDIA SERVICES","2",16,"0.09","0.7","2%",736,2022-08-01
"DENTISTRY","1",8,"0.05","0.38","2%",436.8,2022-09-01
"HOUSE OFFICERS","31",248,"1.48","11.81","1%",16716,2020-01-01
"B BARN","1",8,"0.05","0.38","1%",588,2020-01-01
"HOUSE OFFICERS","10",80,"0.53","4.21","1%",15124,2020-02-01
"HOUSE OFFICERS","24",192,"1.14","9.14","1%",16716,2020-03-01
"HOUSE OFFICERS","16",128,"0.73","5.82","1%",17512,2020-04-01
"HOUSE OFFICERS","23",184,"1.15","9.2","1%",15920,2020-05-01
"NUTRITION","1",4.25,"0.05","0.21","1%",336,2020-05-01
"HOUSE OFFICERS","11",88,"0.52","4.19","1%",16716,2020-08-01
"OPHTHALMOLOGY","1",10,"0.05","0.48","1%",873.6,2020-08-01
"B BARN","1",8,"0.05","0.38","1%",588,2020-08-01
"HOUSE OFFICERS","24",192,"1.14","9.14","1%",16716,2020-09-01
"HOUSE OFFICERS","26",208,"1.18","9.45","1%",17512,2020-10-01
"OPHTHALMOLOGY","1",8,"0.05","0.36","1%",915.2,2020-10-01
"PERSONNEL/PAYROLL","1",6,"0.05","0.27","1%",484,2020-10-01
"OPHTHALMOLOGY","1",5.5,"0.06","0.31","1%",748.8,2020-11-01
"ADMINISTRATION OVERHEAD","2",16,"0.11","0.84","1%",1246.4,2021-01-01
"OPHTHALMOLOGY","1",8,"0.05","0.42","1%",790.4,2021-02-01
"B BARN","1",7,"0.05","0.32","1%",616,2021-04-01
"HOUSE OFFICERS","15",120,"0.75","6","1%",15920,2021-05-01
"SA INTEGRATIVE MEDICINE","1",4,"0.05","0.19","1%",537.6,2021-06-01
"HOUSE OFFICERS","22",176,"1.05","8.38","1%",16716,2021-07-01
"SA COMMUNITY SERVICE","2",14,"0.1","0.67","1%",1176,2021-07-01
"ADMINISTRATION OVERHEAD","2",16,"0.1","0.76","1%",1377.6,2021-07-01
"SA CARDIOLOGY","1",8,"0.05","0.38","1%",688.8,2021-09-01
"SA COMMUNITY SERVICE","2",12.5,"0.1","0.6","1%",1176,2021-10-01
"B BARN","1",7,"0.05","0.33","1%",588,2021-10-01
"FINANCIAL SERVICES","1",8,"0.05","0.38","1%",672,2021-10-01
"HOUSE OFFICERS","13",104,"0.65","5.2","1%",15920,2021-12-01
"BIOLOGICAL MEDIA SERVICES","1",4,"0.05","0.2","1%",640,2022-01-01
"HOUSE OFFICERS","14",112,"0.7","5.6","1%",15920,2022-01-01
"DERMATOLOGY","1",4,"0.05","0.2","1%",320,2022-01-01
"B BARN","1",8,"0.05","0.36","1%",616,2022-03-01
"SA INTEGRATIVE MEDICINE","1",5,"0.05","0.24","1%",537.6,2022-04-01
"PATHOLOGY","5",34,"0.24","1.62","1%",3066,2022-04-01
"HOUSE OFFICERS","11",88,"0.52","4.19","1%",16716,2022-05-01
"BIOLOGICAL MEDIA SERVICES","1",4.75,"0.05","0.24","1%",640,2022-07-01
"DERMATOLOGY","0",0,"0","0","0%",336,2020-01-01
"PERSONNEL/PAYROLL","0",0,"0","0","0%",418,2020-02-01
"DERMATOLOGY","0",0,"0","0","0%",304,2020-02-01
"NUTRITION","0",0,"0","0","0%",369.6,2020-04-01
"PERSONNEL/PAYROLL","0",0,"0","0","0%",484,2020-04-01
"SA INTEGRATIVE MEDICINE","0",0,"0","0","0%",512,2020-05-01
"DERMATOLOGY","0",0,"0","0","0%",320,2020-05-01
"NUTRITION","0",0,"0","0","0%",369.6,2020-06-01
"PERSONNEL/PAYROLL","0",0,"0","0","0%",484,2020-06-01
"DERMATOLOGY","0",0,"0","0","0%",352,2020-06-01
"HOUSE OFFICERS","6",48,"0.27","2.18","0%",17512,2020-07-01
"NUTRITION","0",0,"0","0","0%",352.8,2020-08-01
"DERMATOLOGY","0",0,"0","0","0%",336,2020-08-01
"BEHAVIOR","0",0,"0","0","0%",336,2020-09-01
"NUTRITION","0",0,"0","0","0%",352.8,2020-09-01
"NUTRITION","0",0,"0","0","0%",369.6,2020-10-01
"B BARN","0",0,"0","0","0%",616,2020-10-01
"HOUSE OFFICERS","0",0,"0","0","0%",14328,2020-11-01
"BEHAVIOR","0",0,"0","0","0%",288,2020-11-01
"DERMATOLOGY","0",0,"0","0","0%",288,2020-11-01
"HOUSE OFFICERS","0",0,"0","0","0%",15920,2020-12-01
"DERMATOLOGY","0",0,"0","0","0%",320,2020-12-01
"HOUSE OFFICERS","1",8,"0.05","0.42","0%",15124,2021-01-01
"BEHAVIOR","0",0,"0","0","0%",304,2021-01-01
"NUTRITION","0",0,"0","0","0%",319.2,2021-01-01
"OPHTHALMOLOGY","0",0,"0","0","0%",790.4,2021-01-01
"SA INTEGRATIVE MEDICINE","0",0,"0","0","0%",486.4,2021-01-01
"DERMATOLOGY","0",0,"0","0","0%",304,2021-01-01
"HOUSE OFFICERS","0",0,"0","0","0%",15124,2021-02-01
"DENTISTRY","0",0,"0","0","0%",395.2,2021-02-01
"NUTRITION","0",0,"0","0","0%",319.2,2021-02-01
"B BARN","0",0,"0","0","0%",532,2021-02-01
"SA ULTRASOUND","0",0,"0","0","0%",152,2021-02-01
"DERMATOLOGY","0",0,"0","0","0%",304,2021-02-01
"HOUSE OFFICERS","0",0,"0","0","0%",17512,2021-03-01
"DENTISTRY","0",0,"0","0","0%",457.6,2021-03-01
"PERSONNEL/PAYROLL","0",0,"0","0","0%",484,2021-03-01
"HOUSE OFFICERS","9",72,"0.41","3.27","0%",17512,2021-04-01
"BEHAVIOR","0",0,"0","0","0%",352,2021-04-01
"HOUSE OFFICERS","0",0,"0","0","0%",16716,2021-06-01
"BEHAVIOR","0",0,"0","0","0%",336,2021-06-01
"SA ULTRASOUND","0",0,"0","0","0%",168,2021-06-01
"DERMATOLOGY","0",0,"0","0","0%",336,2021-06-01
"HOUSE OFFICERS","0",0,"0","0","0%",17512,2021-08-01
"NUTRITION","0",0,"0","0","0%",369.6,2021-08-01
"HOUSE OFFICERS","3",24,"0.14","1.14","0%",16716,2021-09-01
"NUTRITION","0",0,"0","0","0%",352.8,2021-09-01
"SA ULTRASOUND","0",0,"0","0","0%",168,2021-09-01
"HOUSE OFFICERS","0",0,"0","0","0%",16716,2021-10-01
"NUTRITION","0",0,"0","0","0%",352.8,2021-10-01
"OPHTHALMOLOGY","0",0,"0","0","0%",873.6,2021-10-01
"HOUSE OFFICERS","3",24,"0.16","1.26","0%",15124,2021-11-01
"BEHAVIOR","0",0,"0","0","0%",304,2021-11-01
"DENTISTRY","0",0,"0","0","0%",395.2,2021-11-01
"NUTRITION","0",0,"0","0","0%",319.2,2021-11-01
"FINANCIAL SERVICES","0",0,"0","0","0%",608,2021-11-01
"DERMATOLOGY","0",0,"0","0","0%",304,2021-11-01
"DERMATOLOGY","0",0,"0","0","0%",320,2021-12-01
"NUTRITION","0",0,"0","0","0%",336,2022-01-01
"HOUSE OFFICERS","1",8,"0.05","0.42","0%",15124,2022-02-01
"DERMATOLOGY","0",0,"0","0","0%",304,2022-02-01
"HOUSE OFFICERS","5",40,"0.23","1.82","0%",17512,2022-03-01
"BEHAVIOR","0",0,"0","0","0%",352,2022-03-01
"PERSONNEL/PAYROLL","0",0,"0","0","0%",484,2022-03-01
"DERMATOLOGY","0",0,"0","0","0%",352,2022-03-01
"HOUSE OFFICERS","1",8,"0.05","0.38","0%",16716,2022-04-01
"DERMATOLOGY","0",0,"0","0","0%",336,2022-04-01
"DERMATOLOGY","0",0,"0","0","0%",336,2022-05-01
"HOUSE OFFICERS","5",40,"0.24","1.9","0%",16716,2022-06-01
"BEHAVIOR","0",0,"0","0","0%",336,2022-06-01
"HOUSE OFFICERS","7",60,"0.35","3","0%",15920,2022-07-01
"HOUSE OFFICERS","4",32,"0.17","1.39","0%",18308,2022-08-01
"BEHAVIOR","0",0,"0","0","0%",368,2022-08-01
"HOUSE OFFICERS","9",72,"0.43","3.43","0%",16716,2022-09-01
"SA INTEGRATIVE MEDICINE","0",0,"0","0","0%",537.6,2022-09-01
"DERMATOLOGY","0",0,"0","0","0%",336,2022-09-01
"HOUSE OFFICERS","7",56,"0.33","2.67","0%",16716,2022-10-01
"BEHAVIOR","0",0,"0","0","0%",336,2022-10-01
"HOUSE OFFICERS","5",40,"0.26","2.11","0%",15124,2022-11-01
"BEHAVIOR","0",0,"0","0","0%",304,2022-11-01
"DENTISTRY","0",0,"0","0","0%",395.2,2022-11-01
"SA INTEGRATIVE MEDICINE","0",0,"0","0","0%",486.4,2022-11-01
"DERMATOLOGY","0",0,"0","0","0%",304,2022-11-01
